$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$
1.7399e-12 1.8048 4.7924e-13 5.5599e-13 1.2974e-18 1.0833e-21 3.0162e-26 3.3541e-29 6.3729e-31 2.8338e-31 1.0892e-65 2.2175e-56 2.245e-46 1.1629e-38 1.9029e-37 8.252e-58 5.0899e-43 1.858e-30 1.8049e-20 1.9189e-14 2.8468e-32 2.498e-22 6.791e-19 1.1623e-27 3.3094e-24 1.2158e-37 1.6887e-53 6.0897e-62 7.4416e-48 3.4282e-36 1.941e-27 1.4434e-32
4.7922e-13 1.8086 5.0348e-13 5.2923e-13 2.472e-18 1.9647e-21 5.2071e-26 1.7603e-29 3.5138e-31 1.6415e-31 3.9544e-65 7.6633e-56 7.3848e-46 3.6411e-38 5.6714e-37 2.2729e-58 1.4729e-43 5.6485e-31 5.7644e-21 6.4385e-15 2.9908e-32 2.498e-22 6.4641e-19 2.2146e-27 6.0023e-24 2.0988e-37 2.775e-53 1.6773e-62 2.1534e-48 1.0422e-36 6.1992e-28 4.8431e-33
1.32e-13 1.81 5.124e-13 5.2001e-13 4.7103e-18 3.6784e-21 9.579e-26 9.2385e-30 1.8768e-31 8.9231e-32 1.4357e-64 2.7338e-55 2.5885e-45 1.254e-37 1.9193e-36 6.2605e-59 4.1287e-44 1.6115e-31 1.6737e-21 1.9025e-15 3.0438e-32 2.498e-22 6.3515e-19 4.2197e-27 1.1238e-23 3.861e-37 5.016e-53 4.62e-63 6.0364e-49 2.9732e-37 1.7999e-28 1.4311e-33
3.6357e-14 1.8104 5.1512e-13 5.1726e-13 8.975e-18 6.9719e-21 1.806e-25 4.8486e-30 9.9022e-32 4.7329e-32 5.2123e-64 9.8727e-55 9.2987e-45 4.4811e-37 6.822e-36 1.7244e-59 1.1433e-44 4.4859e-32 4.6838e-22 5.3526e-16 3.06e-32 2.498e-22 6.3179e-19 8.0402e-27 2.1299e-23 7.2793e-37 9.4069e-53 1.2725e-63 1.6715e-49 8.2766e-38 5.0371e-29 4.0263e-34
1.0014e-14 1.8105 5.159e-13 5.1649e-13 1.7101e-17 1.3264e-20 3.4308e-25 2.5446e-30 5.2047e-32 2.4914e-32 1.8924e-63 3.579e-54 3.3659e-44 1.6196e-36 2.462e-35 4.7496e-60 3.1537e-45 1.2393e-32 1.2959e-22 1.4832e-16 3.0646e-32 2.498e-22 6.3085e-19 1.532e-26 4.0522e-23 1.3829e-36 1.7844e-52 3.505e-64 4.6108e-50 2.2865e-38 1.3937e-29 1.1157e-34
2.7583e-15 1.8105 5.1611e-13 5.1627e-13 3.2584e-17 2.5263e-20 6.5316e-25 1.3355e-30 2.7327e-32 1.3086e-32 6.8703e-63 1.2988e-53 1.221e-43 5.8727e-36 8.9236e-35 1.3082e-60 8.6901e-46 3.4163e-33 3.5739e-23 4.092e-17 3.0658e-32 2.498e-22 6.3058e-19 2.9191e-26 7.718e-23 2.6327e-36 3.3957e-52 9.6542e-65 1.2705e-50 6.3033e-39 3.8435e-30 3.0781e-35
7.5973e-16 1.8106 5.1617e-13 5.1621e-13 6.2086e-17 4.8132e-20 1.2443e-24 7.0089e-31 1.4343e-32 6.8696e-33 2.4943e-62 4.715e-53 4.4319e-43 2.1314e-35 3.2383e-34 3.6033e-61 2.3939e-46 9.412e-34 9.8473e-24 1.1276e-17 3.0662e-32 2.498e-22 6.3051e-19 5.562e-26 1.4704e-22 5.0152e-36 6.4679e-52 2.6591e-65 3.4999e-51 1.7366e-39 1.059e-30 8.4821e-36
2.0926e-16 1.8106 5.1619e-13 5.162e-13 1.183e-16 9.1707e-20 2.3707e-24 3.6784e-31 7.5279e-33 3.6055e-33 9.0559e-62 1.7118e-52 1.6089e-42 7.7375e-35 1.1755e-33 9.925e-62 6.5938e-47 2.5926e-34 2.7126e-24 3.1063e-18 3.0663e-32 2.498e-22 6.3049e-19 1.0598e-25 2.8017e-22 9.5554e-36 1.2323e-51 7.3243e-66 9.6404e-52 4.7835e-40 2.9172e-31 2.3366e-36
5.7638e-17 1.8106 5.1619e-13 5.1619e-13 2.2541e-16 1.7474e-19 4.517e-24 1.9305e-31 3.9509e-33 1.8923e-33 3.2878e-61 6.2146e-52 5.8412e-42 2.8091e-34 4.2677e-33 2.7337e-62 1.8162e-47 7.1411e-35 7.4717e-25 8.5562e-19 3.0663e-32 2.498e-22 6.3049e-19 2.0193e-25 5.3382e-22 1.8207e-35 2.3479e-51 2.0174e-66 2.6553e-52 1.3176e-40 8.0353e-32 6.4361e-37
1.5876e-17 1.8106 5.1619e-13 5.1619e-13 4.295e-16 3.3295e-19 8.6066e-24 1.0132e-31 2.0735e-33 9.9312e-34 1.1937e-60 2.2562e-51 2.1207e-41 1.0199e-33 1.5494e-32 7.5297e-63 5.0025e-48 1.967e-35 2.058e-25 2.3567e-19 3.0663e-32 2.498e-22 6.3049e-19 3.8476e-25 1.0171e-21 3.4691e-35 4.4738e-51 5.5567e-67 7.3139e-53 3.6291e-41 2.2132e-32 1.7728e-37
