$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$
3.9929e-30 1.8066 2.4839e-18 2.4839e-18 1.682e-24 0 3.0479e-34 2.2362e-46 1.6332e-48 5.7452e-49 4.903e-89 1.5863e-77 1.3578e-65 9.4584e-61 2.9518e-61 7.6439e-92 5.4666e-73 9.9889e-57 1.3442e-43 2.5314e-34
5.7719e-31 1.8066 2.4839e-18 2.4839e-18 4.4238e-24 0 8.0164e-34 8.5021e-47 6.2093e-49 2.1843e-49 3.3917e-88 1.0974e-76 9.393e-65 6.543e-60 2.042e-60 1.105e-92 7.9023e-74 1.444e-57 1.9431e-44 3.6593e-35
8.3437e-32 1.8066 2.4839e-18 2.4839e-18 1.1635e-23 0 2.1085e-33 3.2326e-47 2.3608e-49 8.305e-50 2.3463e-87 7.5913e-76 6.4978e-64 4.5263e-59 1.4126e-59 1.5973e-93 1.1423e-74 2.0873e-58 2.8089e-45 5.2897e-36
1.2061e-32 1.8066 2.4839e-18 2.4839e-18 3.0603e-23 0 5.5456e-33 1.229e-47 8.976e-50 3.1576e-50 1.6231e-86 5.2515e-75 4.495e-63 3.1312e-58 9.7718e-59 2.309e-94 1.6513e-75 3.0174e-59 4.0604e-46 7.6466e-37
1.7435e-33 1.8066 2.4839e-18 2.4839e-18 8.049e-23 0 1.4586e-32 4.6729e-48 3.4127e-50 1.2005e-50 1.1228e-85 3.6328e-74 3.1095e-62 2.1661e-57 6.7599e-58 3.3378e-95 2.3871e-76 4.3618e-60 5.8695e-47 1.1054e-37
2.5204e-34 1.8066 2.4839e-18 2.4839e-18 2.117e-22 0 3.8363e-32 1.7766e-48 1.2975e-50 4.5645e-51 7.7674e-85 2.5131e-73 2.1511e-61 1.4984e-56 4.6763e-57 4.825e-96 3.4507e-77 6.3052e-61 8.4848e-48 1.5979e-38
3.6434e-35 1.8066 2.4839e-18 2.4839e-18 5.5681e-22 0 1.009e-31 6.7549e-49 4.9333e-51 1.7355e-51 5.3733e-84 1.7385e-72 1.4881e-60 1.0366e-55 3.2349e-56 6.9749e-97 4.9881e-78 9.1146e-62 1.2265e-48 2.3098e-39
5.2667e-36 1.8066 2.4839e-18 2.4839e-18 1.4645e-21 0 2.6538e-31 2.5683e-49 1.8757e-51 6.5983e-52 3.7171e-83 1.2026e-71 1.0294e-59 7.1707e-55 2.2378e-55 1.0083e-97 7.2107e-79 1.3176e-62 1.773e-49 3.339e-40
7.6134e-37 1.8066 2.4839e-18 2.4839e-18 3.8519e-21 0 6.98e-31 9.7646e-50 7.1314e-52 2.5087e-52 2.5714e-82 8.3195e-71 7.1211e-59 4.9605e-54 1.5481e-54 1.4575e-98 1.0423e-79 1.9046e-63 2.563e-50 4.8267e-41
1.1006e-37 1.8066 2.4839e-18 2.4839e-18 1.0131e-20 0 1.8358e-30 3.7126e-50 2.7114e-52 9.5382e-53 1.7788e-81 5.7552e-70 4.9262e-58 3.4315e-53 1.0709e-53 2.1069e-99 1.5068e-80 2.7533e-64 3.705e-51 6.9773e-42
