$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Zr_{i}^{\times}$ $Zr_{i}^{\bullet}$ $Zr_{i}^{\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet}$ $Zr_{i}^{\bullet\bullet\bullet\bullet}$ $Zr_{Sn}^{\times}$ $Zr_{Sn}^{'}$ $Zr_{Sn}^{''}$ $Zr_{Sn}^{'''}$ $Zr_{Sn}^{''''}$
1.5876e-17 1.4871 2.5815e-09 6.8617e-09 2.0577e-11 6.5508e-13 6.6898e-14 1.885e-24 4.6931e-27 9.8152e-29 1.2054e-42 1.0879e-35 1.5841e-28 3.6279e-25 1.4089e-24 8.3481e-49 1.0048e-40 4.3074e-34 3.7346e-29 3.3765e-26 8.8917e-23 1.0356e-16 1.1315e-13 3.0288e-18 4.2586e-15 2.4038e-23 4.3923e-33 6.622e-52 5.7657e-44 7.9897e-38 9.6232e-34 6.5428e-39 1.134e-46 1.1147e-40 1.0444e-35 5.3801e-33 2.5642e-32 9.9996e-05 4.2811e-09 1.8759e-16 1.2307e-26 8.9062e-39
2.2949e-18 1.4871 2.5817e-09 6.861e-09 5.412e-11 1.7228e-12 1.7592e-13 7.167e-25 1.7845e-27 3.7325e-29 8.3385e-42 7.5253e-35 1.0956e-27 2.509e-24 9.7427e-24 1.2068e-49 1.4526e-41 6.2279e-35 5.4001e-30 4.8827e-27 8.8925e-23 1.0356e-16 1.1314e-13 7.9663e-18 1.12e-14 6.3212e-23 1.1549e-32 9.5725e-53 8.3355e-45 1.1552e-38 1.3915e-34 9.4616e-40 7.8448e-46 7.7107e-40 7.2236e-35 3.7208e-32 1.7732e-31 9.9996e-05 4.2815e-09 1.8762e-16 1.2311e-26 8.9096e-39
3.3175e-19 1.4871 2.5824e-09 6.8593e-09 1.4234e-10 4.5301e-12 4.6246e-13 2.7249e-25 6.7864e-28 1.4198e-29 5.7684e-41 5.2045e-34 7.5754e-27 1.7344e-23 6.733e-23 1.7445e-50 2.1004e-42 9.0072e-36 7.812e-31 7.0653e-28 8.8947e-23 1.0356e-16 1.1311e-13 2.0953e-17 2.945e-14 1.6618e-22 3.0354e-32 1.3838e-53 1.2052e-45 1.6707e-39 2.013e-35 1.3691e-40 5.4268e-45 5.3328e-39 4.9946e-34 2.572e-31 1.2254e-30 9.9996e-05 4.2826e-09 1.8772e-16 1.232e-26 8.9184e-39
4.7956e-20 1.4872 2.584e-09 6.8549e-09 3.7439e-10 1.1907e-11 1.2148e-12 1.036e-25 2.5819e-28 5.4053e-30 3.9904e-40 3.598e-33 5.2337e-26 1.1974e-22 4.6456e-22 2.5217e-51 3.0382e-43 1.3037e-36 1.1315e-31 1.024e-28 8.9005e-23 1.0356e-16 1.1304e-13 5.5109e-17 7.7408e-14 4.365e-22 7.968e-32 2.0003e-54 1.7434e-46 2.4183e-40 2.9156e-36 1.9843e-41 3.7541e-44 3.6867e-38 3.4507e-33 1.7758e-30 8.4551e-30 9.9996e-05 4.2854e-09 1.8796e-16 1.2344e-26 8.9417e-39
6.9323e-21 1.4874 2.5885e-09 6.8432e-09 9.847e-10 3.1264e-11 3.1842e-12 3.939e-26 9.8334e-29 2.0621e-30 2.7605e-39 2.4848e-32 3.6082e-25 8.2413e-22 3.1919e-21 3.6453e-52 4.3994e-44 1.8911e-37 1.644e-32 1.4904e-29 8.9157e-23 1.0356e-16 1.1284e-13 1.4494e-16 2.0325e-13 1.1441e-21 2.085e-31 2.8916e-55 2.5245e-47 3.5077e-41 4.2363e-37 2.888e-42 2.597e-43 2.546e-37 2.3789e-32 1.2222e-29 5.8092e-29 9.9996e-05 4.2927e-09 1.886e-16 1.2407e-26 9.0029e-39
1.0021e-21 1.4878 2.6e-09 6.8128e-09 2.5899e-09 8.1865e-11 8.3005e-12 1.4976e-26 3.7554e-29 7.9106e-31 1.9096e-38 1.7112e-31 2.4739e-24 5.6254e-21 2.169e-20 5.2695e-53 6.3881e-45 2.7582e-38 2.4085e-33 2.1932e-30 8.9555e-23 1.0356e-16 1.1234e-13 3.8123e-16 5.322e-13 2.9826e-21 5.411e-31 4.18e-56 3.6656e-48 5.116e-42 6.2062e-38 4.2499e-43 1.7965e-42 1.7534e-36 1.6311e-31 8.3423e-29 3.9476e-28 9.9996e-05 4.3119e-09 1.9029e-16 1.2574e-26 9.1648e-39
1.4486e-22 1.489 2.6301e-09 6.7348e-09 6.8119e-09 2.1285e-10 2.1335e-11 5.6941e-27 1.4443e-29 3.0776e-31 1.321e-37 1.1702e-30 1.6724e-23 3.7595e-20 1.433e-19 7.6175e-54 9.3412e-46 4.0799e-39 3.6039e-34 3.3197e-31 9.0592e-23 1.0356e-16 1.1106e-13 1.0027e-15 1.3837e-12 7.6662e-21 1.3749e-30 6.0424e-57 5.3601e-49 7.5676e-43 9.2865e-39 6.4328e-44 1.2428e-41 1.1991e-35 1.1027e-30 5.5752e-28 2.608e-27 9.9996e-05 4.3617e-09 1.9472e-16 1.3016e-26 9.5964e-39
2.0941e-23 1.492 2.7071e-09 6.5432e-09 1.7916e-08 5.4391e-10 5.2966e-11 2.1649e-27 5.6523e-30 1.2397e-31 9.1384e-37 7.8651e-30 1.092e-22 2.3849e-19 8.8318e-19 1.1012e-54 1.3899e-46 6.2483e-40 5.6811e-35 5.3863e-32 9.3245e-23 1.0356e-16 1.079e-13 2.6372e-15 3.5359e-12 1.9032e-20 3.3162e-30 8.7347e-58 7.9754e-50 1.159e-43 1.4639e-39 1.0437e-44 8.5973e-41 8.0588e-35 7.2e-30 3.5368e-27 1.6074e-26 9.9996e-05 4.4895e-09 2.0629e-16 1.4193e-26 1.0771e-38
3.0271e-24 1.499 2.8974e-09 6.1136e-09 4.7123e-08 1.3366e-09 1.2162e-10 8.2312e-28 2.3e-30 5.399e-32 6.3217e-36 5.0837e-29 6.595e-22 1.3458e-18 4.6564e-18 1.5918e-55 2.1503e-47 1.0346e-40 1.0068e-35 1.0216e-32 9.9797e-23 1.0356e-16 1.0081e-13 6.9363e-15 8.6894e-12 4.3701e-20 7.1146e-30 1.2626e-58 1.2339e-50 1.9191e-44 2.5942e-40 1.9796e-45 5.9474e-40 5.2089e-34 4.3482e-29 1.9957e-26 8.4747e-26 9.9995e-05 4.8049e-09 2.363e-16 1.74e-26 1.4133e-38
4.3759e-25 1.5136 3.3355e-09 5.3105e-09 1.2394e-07 3.0538e-09 2.4136e-10 3.1295e-28 1.0067e-30 2.7205e-32 4.3732e-35 3.0548e-28 3.4424e-21 6.1017e-18 1.8339e-17 2.301e-56 3.5785e-48 1.9821e-41 2.2205e-36 2.5939e-33 1.1489e-22 1.0356e-16 8.757e-14 1.8244e-14 1.9852e-11 8.6726e-20 1.2265e-29 1.8252e-59 2.0534e-51 3.6766e-45 5.7217e-41 5.0264e-46 4.1142e-39 3.13e-33 2.2696e-28 9.0486e-26 3.3377e-25 9.9994e-05 5.5315e-09 3.1317e-16 2.6548e-26 2.4823e-38
