$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Nb_{i}^{\times}$ $Nb_{i}^{\bullet}$ $Nb_{i}^{\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet}$ $Nb_{i}^{\bullet\bullet\bullet\bullet\bullet}$ $Nb_{Sn}^{\times}$ $Nb_{Sn}^{\bullet}$ $Nb_{Sn}^{'}$ $Nb_{Sn}^{''}$ $Nb_{Sn}^{'''}$ $Nb_{Sn}^{''''}$
1.5876e-17 2.3626 1.2259e-05 1.4437e-12 2.0577e-11 1.3783e-16 2.9616e-21 1.885e-24 2.2305e-23 2.2171e-21 1.2054e-42 2.2891e-39 7.0128e-36 3.3793e-36 2.7613e-39 8.3481e-49 4.7755e-37 9.7299e-27 4.0093e-18 1.7228e-11 4.226e-19 1.0356e-16 2.3807e-17 3.0288e-18 8.9604e-19 1.0642e-30 4.0913e-44 6.622e-52 2.7403e-40 1.8048e-30 1.0331e-22 3.3384e-24 3.3755e-46 4.4948e-43 1.2479e-41 2.0363e-42 6.6818e-47 5.4835e-52 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6214e-24
2.2949e-18 2.3626 1.2259e-05 1.4437e-12 5.412e-11 3.6252e-16 7.7894e-21 7.167e-25 8.4805e-24 8.4296e-22 8.3385e-42 1.5835e-38 4.8512e-35 2.3377e-35 1.9101e-38 1.2068e-49 6.9033e-38 1.4065e-27 5.7958e-19 2.4904e-12 4.226e-19 1.0356e-16 2.3807e-17 7.9663e-18 2.3567e-18 2.7989e-30 1.0761e-43 9.5725e-53 3.9613e-41 2.6089e-31 1.4934e-23 4.8259e-25 2.3351e-45 3.1094e-42 8.6325e-41 1.4087e-41 4.6222e-46 3.7933e-51 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
3.3175e-19 2.3626 1.2259e-05 1.4437e-12 1.4234e-10 9.5349e-16 2.0487e-20 2.7249e-25 3.2243e-24 3.205e-22 5.7684e-41 1.0954e-37 3.356e-34 1.6172e-34 1.3214e-37 1.7445e-50 9.9792e-39 2.0332e-28 8.3782e-20 3.6001e-13 4.226e-19 1.0356e-16 2.3807e-17 2.0953e-17 6.1986e-18 7.3616e-30 2.8303e-43 1.3838e-53 5.7262e-42 3.7713e-32 2.1589e-24 6.9761e-26 1.6153e-44 2.151e-41 5.9717e-40 9.7447e-41 3.1975e-45 2.6241e-50 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
4.7956e-20 2.3626 1.2259e-05 1.4437e-12 3.7439e-10 2.5078e-15 5.3885e-20 1.036e-25 1.2259e-24 1.2186e-22 3.9904e-40 7.5779e-37 2.3216e-33 1.1187e-33 9.141e-37 2.5217e-51 1.4426e-39 2.9391e-29 1.2111e-20 5.2041e-14 4.226e-19 1.0356e-16 2.3807e-17 5.5109e-17 1.6303e-17 1.9362e-29 7.444e-43 2.0003e-54 8.2776e-43 5.4517e-33 3.1208e-25 1.0084e-26 1.1174e-43 1.488e-40 4.1311e-39 6.7411e-40 2.212e-44 1.8153e-49 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
6.9323e-21 2.3626 1.2259e-05 1.4437e-12 9.847e-10 6.596e-15 1.4173e-19 3.939e-26 4.661e-25 4.633e-23 2.7605e-39 5.2422e-36 1.606e-32 7.7389e-33 6.3235e-36 3.6453e-52 2.0853e-40 4.2487e-30 1.7507e-21 7.5229e-15 4.226e-19 1.0356e-16 2.3807e-17 1.4494e-16 4.288e-17 5.0926e-29 1.9579e-42 2.8916e-55 1.1966e-43 7.8807e-34 4.5113e-26 1.4578e-27 7.7301e-43 1.0293e-39 2.8578e-38 4.6633e-39 1.5302e-43 1.2557e-48 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
1.0021e-21 2.3626 1.2259e-05 1.4437e-12 2.5899e-09 1.7348e-14 3.7276e-19 1.4976e-26 1.7721e-25 1.7615e-23 1.9096e-38 3.6264e-35 1.111e-31 5.3536e-32 4.3744e-35 5.2695e-53 3.0144e-41 6.1417e-31 2.5308e-22 1.0875e-15 4.226e-19 1.0356e-16 2.3807e-17 3.8123e-16 1.1278e-16 1.3394e-28 5.1496e-42 4.18e-56 1.7297e-44 1.1392e-34 6.5213e-27 2.1073e-28 5.3475e-42 7.1207e-39 1.9769e-37 3.226e-38 1.0585e-42 8.6869e-48 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
1.4486e-22 2.3626 1.2259e-05 1.4437e-12 6.8119e-09 4.5629e-14 9.8042e-19 5.6941e-27 6.7377e-26 6.6973e-24 1.321e-37 2.5086e-34 7.6854e-31 3.7034e-31 3.0261e-34 7.6175e-54 4.3575e-42 8.8783e-32 3.6584e-23 1.572e-16 4.226e-19 1.0356e-16 2.3807e-17 1.0027e-15 2.9663e-16 3.5229e-28 1.3544e-41 6.0424e-57 2.5004e-45 1.6468e-35 9.427e-28 3.0462e-29 3.6993e-41 4.9259e-38 1.3676e-36 2.2316e-37 7.3227e-42 6.0094e-47 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
2.0941e-23 2.3626 1.2259e-05 1.4437e-12 1.7916e-08 1.2001e-13 2.5787e-18 2.1649e-27 2.5617e-26 2.5463e-24 9.1384e-37 1.7354e-33 5.3166e-30 2.5619e-30 2.0934e-33 1.1012e-54 6.2991e-43 1.2834e-32 5.2885e-24 2.2725e-17 4.226e-19 1.0356e-16 2.3807e-17 2.6372e-15 7.8019e-16 9.2658e-28 3.5623e-41 8.7347e-58 3.6145e-46 2.3806e-36 1.3627e-28 4.4035e-30 2.559e-40 3.4076e-37 9.4605e-36 1.5438e-36 5.0656e-41 4.1571e-46 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
3.0271e-24 2.3626 1.2259e-05 1.4437e-12 4.7123e-08 3.1565e-13 6.7823e-18 8.2312e-28 9.7398e-27 9.6813e-25 6.3217e-36 1.2005e-32 3.6779e-29 1.7723e-29 1.4481e-32 1.5918e-55 9.1057e-44 1.8552e-33 7.6449e-25 3.285e-18 4.226e-19 1.0356e-16 2.3807e-17 6.9363e-15 2.052e-15 2.437e-27 9.3695e-41 1.2626e-58 5.225e-47 3.4412e-37 1.9699e-29 6.3655e-31 1.7703e-39 2.3573e-36 6.5445e-35 1.0679e-35 3.5043e-40 2.8758e-45 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
4.3759e-25 2.3626 1.2259e-05 1.4437e-12 1.2394e-07 8.3021e-13 1.7839e-17 3.1295e-28 3.7031e-27 3.6809e-25 4.3732e-35 8.3048e-32 2.5442e-28 1.226e-28 1.0018e-31 2.301e-56 1.3163e-44 2.6819e-34 1.1051e-25 4.7486e-19 4.226e-19 1.0356e-16 2.3807e-17 1.8244e-14 5.3971e-15 6.4098e-27 2.4643e-40 1.8252e-59 7.5531e-48 4.9745e-38 2.8476e-30 9.2017e-32 1.2246e-38 1.6307e-35 4.5273e-34 7.3878e-35 2.4241e-39 1.9894e-44 8.4734e-05 1.3763e-05 1.5028e-06 3.017e-10 4.8099e-16 6.6215e-24
