$P_{O_2}$ $\mu_e$ e h $V_{O}^{\times}$ $V_{O}^{\bullet}$ $V_{O}^{\bullet\bullet}$ $O_{i}^{\times}$ $O_{i}^{'}$ $O_{i}^{''}$ $Sn_{i}^{\times}$ $Sn_{i}^{\bullet}$ $Sn_{i}^{\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet}$ $Sn_{i}^{\bullet\bullet\bullet\bullet}$ $V_{Sn}^{\times}$ $V_{Sn}^{'}$ $V_{Sn}^{''}$ $V_{Sn}^{'''}$ $V_{Sn}^{''''}$ $H_{i}^{'}$ $H_{i}^{\times}$ $H_{i}^{\bullet}$ $H_{O}^{\times}$ $H_{O}^{\bullet}$ $H_{O}^{\bullet\bullet}$ $H_{O}^{\bullet\bullet\bullet}$ $H_{Sn}^{\times}$ $H_{Sn}^{'}$ $H_{Sn}^{''}$ $H_{Sn}^{'''}$ $H_{Sn}^{''''}$ $Co_{i}^{\times}$ $Co_{i}^{\bullet}$ $Co_{i}^{\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet}$ $Co_{i}^{\bullet\bullet\bullet\bullet}$ $Co_{Sn}^{\times}$ $Co_{Sn}^{'}$ $Co_{Sn}^{''}$ $Co_{Sn}^{'''}$ $Co_{Sn}^{''''}$
1.5876e-17 1.0356 3.2804e-11 5.3996e-07 2.0577e-11 5.1551e-11 4.1428e-10 1.885e-24 5.9637e-29 1.585e-32 1.2054e-42 8.5613e-34 9.8097e-25 1.768e-19 5.403e-17 8.3481e-49 1.2768e-42 6.9557e-38 7.6635e-35 8.8045e-34 1.1299e-24 1.0356e-16 8.9041e-12 3.0288e-18 3.3513e-13 1.4886e-19 2.1405e-27 6.622e-52 7.3268e-46 1.2902e-41 1.9747e-39 1.7061e-46 1.8409e-18 1.0794e-11 2.5461e-07 2.4671e-05 1.2376e-12 9.8435e-09 7.5064e-05 3.8998e-11 4.4579e-20 9.5447e-31
2.2949e-18 1.0857 5.3221e-11 3.3283e-07 5.412e-11 8.3573e-11 4.1397e-10 7.167e-25 3.6786e-29 1.5861e-32 8.3385e-42 3.6505e-33 2.5782e-24 2.8641e-19 5.3951e-17 1.2068e-49 2.9945e-43 2.6465e-38 4.7306e-35 8.8175e-34 1.8331e-24 1.0356e-16 5.4883e-12 7.9663e-18 5.433e-13 1.4875e-19 1.3184e-27 9.5725e-53 1.7183e-46 4.909e-42 1.219e-39 1.7086e-46 7.8404e-18 2.8336e-11 4.1198e-07 2.4606e-05 7.6082e-13 6.0602e-09 7.4976e-05 6.3195e-11 1.172e-19 4.071e-30
3.3175e-19 1.1358 8.6423e-11 2.0496e-07 1.4234e-10 1.3536e-10 4.1291e-10 2.7249e-25 2.2712e-29 1.5902e-32 5.7684e-41 1.5551e-32 6.7636e-24 4.627e-19 5.3673e-17 1.7445e-50 7.0293e-44 1.0088e-38 2.9282e-35 8.863e-34 2.9768e-24 1.0356e-16 3.3798e-12 2.0953e-17 8.7998e-13 1.4837e-19 8.0979e-28 1.3838e-53 4.0335e-47 1.8712e-42 7.5453e-40 1.7174e-46 3.3359e-17 7.4243e-11 6.6473e-07 2.4449e-05 4.6553e-13 3.7273e-09 7.4882e-05 1.0249e-10 3.0866e-19 1.7411e-29
4.7956e-20 1.1861 1.4051e-10 1.2606e-07 3.7439e-10 2.1898e-10 4.1084e-10 1.036e-25 1.404e-29 1.5982e-32 3.9904e-40 6.6168e-32 1.77e-23 7.4477e-19 5.3138e-17 2.5217e-51 1.6521e-44 3.8549e-39 1.8192e-35 8.9524e-34 4.8398e-24 1.0356e-16 2.0788e-12 5.5109e-17 1.4236e-12 1.4763e-19 4.9558e-28 2.0003e-54 9.4799e-48 7.1503e-43 4.6876e-40 1.7348e-46 1.4171e-16 1.9398e-10 1.0683e-06 2.4166e-05 2.8302e-13 2.2889e-09 7.4763e-05 1.6637e-10 8.1461e-19 7.4706e-29
6.9323e-21 1.2365 2.2886e-10 7.7398e-08 9.847e-10 3.5361e-10 4.0733e-10 3.939e-26 8.6942e-30 1.612e-32 2.7605e-39 2.8103e-31 4.6157e-23 1.1924e-18 5.2232e-17 3.6453e-52 3.8898e-45 1.4783e-39 1.1363e-35 9.1076e-34 7.8828e-24 1.0356e-16 1.2763e-12 1.4494e-16 2.2988e-12 1.4636e-19 3.0167e-28 2.8916e-55 2.232e-48 2.7421e-43 2.9279e-40 1.7648e-46 6.0049e-16 5.0469e-10 1.7064e-06 2.37e-05 1.7041e-13 1.4021e-09 7.4592e-05 2.7036e-10 2.1561e-18 3.2206e-28
1.0021e-21 1.2872 3.7378e-10 4.7389e-08 2.5899e-09 5.6945e-10 4.0162e-10 1.4976e-26 5.3988e-30 1.6349e-32 1.9096e-38 1.1903e-30 1.197e-22 1.8933e-18 5.078e-17 5.2695e-53 9.1836e-46 5.7004e-40 7.1562e-36 9.3681e-34 1.2875e-23 1.0356e-16 7.8144e-13 3.8123e-16 3.7019e-12 1.4431e-19 1.8212e-28 4.18e-56 5.2697e-49 1.0573e-43 1.844e-40 1.8153e-46 2.5347e-15 1.3043e-09 2.7002e-06 2.2962e-05 1.0109e-13 8.5551e-10 7.4336e-05 4.4005e-10 5.7317e-18 1.3983e-27
1.4486e-22 1.3384 6.1309e-10 2.8892e-08 6.8119e-09 9.1312e-10 3.9263e-10 5.6941e-27 3.3669e-30 1.6723e-32 1.321e-37 5.0203e-30 3.0778e-22 2.968e-18 4.8532e-17 7.6175e-54 2.1775e-46 2.2169e-40 4.5649e-36 9.8019e-34 2.1117e-23 1.0356e-16 4.7642e-13 1.0027e-15 5.9362e-12 1.4108e-19 1.0855e-28 6.0424e-57 1.2495e-49 4.1121e-44 1.1763e-40 1.8994e-46 1.0635e-14 3.3366e-09 4.2112e-06 2.1833e-05 5.8602e-14 5.189e-10 7.3954e-05 7.1807e-10 1.5341e-17 6.1387e-27
2.0941e-23 1.3903 1.0122e-09 1.7499e-08 1.7916e-08 1.4547e-09 3.7885e-10 2.1649e-27 2.1134e-30 1.7332e-32 9.1384e-37 2.1035e-29 7.811e-22 4.5623e-18 4.5186e-17 1.1012e-54 5.1968e-47 8.7355e-41 2.9697e-36 1.0528e-33 3.4865e-23 1.0356e-16 2.8857e-13 2.6372e-15 9.4567e-12 1.3613e-19 6.3438e-29 8.7347e-58 2.982e-50 1.6203e-44 7.6523e-41 2.0401e-46 4.4227e-14 8.4042e-09 6.4246e-06 2.0175e-05 3.2799e-14 3.1193e-10 7.3399e-05 1.1766e-09 4.1503e-17 2.7419e-26
3.0271e-24 1.4431 1.6876e-09 1.0496e-08 4.7123e-08 2.2948e-09 3.5848e-10 8.2312e-28 1.3397e-30 1.8317e-32 6.3217e-36 8.7279e-29 1.9439e-21 6.8102e-18 4.0456e-17 1.5918e-55 1.2525e-47 3.5101e-41 1.9895e-36 1.1759e-33 5.8128e-23 1.0356e-16 1.7308e-13 6.9363e-15 1.4918e-11 1.2881e-19 3.6004e-29 1.2626e-58 7.187e-51 6.5107e-45 5.1264e-41 2.2786e-46 1.816e-13 2.0697e-08 9.49e-06 1.7875e-05 1.743e-14 1.8514e-10 7.2633e-05 1.9413e-09 1.1416e-16 1.2574e-25
4.3759e-25 1.4974 2.8531e-09 6.2085e-09 1.2394e-07 3.5701e-09 3.2988e-10 3.1295e-28 8.6113e-31 1.9905e-32 4.3732e-35 3.5713e-28 4.705e-21 9.7497e-18 3.4258e-17 2.301e-56 3.0609e-48 1.4502e-41 1.3897e-36 1.3886e-33 9.8272e-23 1.0356e-16 1.0238e-13 1.8244e-14 2.3209e-11 1.1853e-19 1.9597e-29 1.8252e-59 1.7564e-51 2.69e-45 3.5808e-41 2.6908e-46 7.3309e-13 4.9423e-08 1.3404e-05 1.4934e-05 8.6133e-15 1.0804e-10 7.1659e-05 3.2379e-09 3.2192e-16 5.9945e-25
